,Lat,Lng,City,Country,Temp,Humidity,Date,Wind Speed,Cloudiness
0,-19.122914757795243,31.170900358589336,mvuma,zw,49.81,52,1503517039,5.5,0
1,83.85309122153564,40.161730315826816,tumannyy,ru,44.77,100,1503517039,8.41,92
2,13.301621675521005,92.16728127395652,port blair,in,81.49,100,1503517039,16.02,88
3,-25.388624405885565,-29.25865255533745,vila velha,br,69.8,77,1503514800,13.87,90
4,19.168419547640767,-107.81310450870384,tomatlan,mx,82.57,79,1503517040,5.5,44
5,1.4877322788324676,128.02508918574205,ternate,id,78.97,100,1503517040,3.71,80
6,39.89586663226106,-1.0444179476921818,utiel,es,78.8,78,1503516600,8.05,40
7,53.87901065073433,45.04006574623577,issa,ru,77.71,32,1503517040,19.37,76
8,-48.8792459775524,-69.76974246930232,rio gallegos,ar,48.2,26,1503514800,11.41,75
9,15.43840469772421,-131.20880282492163,guerrero negro,mx,80.5,59,1503517041,11.32,0
10,20.74400781015487,88.74809138657417,harindanga,in,82.4,83,1503514800,3.27,75
11,9.12298427287132,14.558585206906656,pala,td,72.94,94,1503517041,3.94,20
12,54.769445291633474,59.15616480194282,satka,ru,58.18,75,1503517041,2.37,0
13,29.740399815496517,90.35122840559671,lasa,cn,75.2,59,1503514500,4.7,20
14,-6.2419332458929375,-83.80519112115441,paita,pe,71.6,68,1503514800,19.46,20
15,60.682016119687034,136.4719384321914,solnechnyy,ru,55.75,94,1503517042,3.71,92
16,-3.7742424064963416,138.70418750908289,vanimo,pg,81.49,100,1503517042,9.19,36
17,-5.65814634032526,-34.219131581269465,nisia floresta,br,82.4,61,1503514800,24.16,40
18,72.53360892753443,140.46259605269694,deputatskiy,ru,51.79,96,1503517043,4.83,92
19,-18.827383674909782,30.150349327229776,kwekwe,zw,50.35,43,1503517043,6.51,0
20,23.619759975307915,99.11858501338457,lashio,mm,68.98,98,1503516978,1.14,56
21,-8.80725358455102,156.95813326857984,gizo,sb,78.43,100,1503517043,13.44,88
22,-26.344583585862758,156.4577375080977,kawana waters,au,63.13,100,1503517043,5.61,92
23,58.72890020902136,8.293523795323125,amli,no,75.37,98,1503517044,4.5,100
24,-81.44203445374502,6.584783246049625,hermanus,za,52.15,96,1503517044,6.73,92
25,54.26846220516316,-61.8053019177822,saint-augustin,ca,62.77,89,1503516999,23.73,92
26,-19.09648442829004,123.52396676023164,broome,au,69.8,94,1503514800,1.12,0
27,-17.11180582810232,-165.08148909599657,alofi,nu,71.6,94,1503514800,5.82,64
28,58.46297320704477,3.545058855863516,visnes,no,57.2,82,1503516000,6.93,40
29,11.349424673773456,123.74484068357384,madridejos,ph,75.28,35,1503517045,4.27,0
30,42.93203505631982,-122.21294508990553,klamath falls,us,73.4,53,1503514380,3.36,40
31,64.20566131824694,90.50407453068647,turukhansk,ru,45.85,96,1503517045,10.87,80
32,63.437237240227205,-141.93692979444813,haines junction,ca,47.02,88,1503517045,2.82,92
33,44.958476741445196,69.65139902911804,zhanatas,kz,65.92,35,1503517046,15.46,0
34,-58.642808276102514,178.60231491256548,dunedin,nz,33.7,78,1503517046,1.92,12
35,43.258003162337104,63.53921889027512,dzhusaly,kz,64.12,70,1503517046,2.26,56
36,4.992698525820771,-45.37797109984976,salinopolis,br,82.03,94,1503517046,15.23,12
37,-11.757312623327167,-147.84981003305668,fare,pf,79.24,100,1503517047,14.67,0
38,5.191108733296105,126.94936042277305,pundaguitan,ph,78.25,100,1503517047,6.96,88
39,39.84153400823246,57.65739497979118,baherden,tm,64.93,34,1503517047,5.73,0
40,-34.10688565161682,-171.86164260344881,vaini,to,69.8,83,1503514800,21.27,90
41,36.879868364185015,170.0029466283596,nikolskoye,ru,60.8,93,1503514800,6.71,90
42,26.534020569633512,156.12616556542133,hasaki,jp,78.8,88,1503514800,3.36,40
43,49.96779647616094,33.1804166992024,khorol,ua,56.92,88,1503517048,9.86,88
44,0.19390974135288275,168.09218488039363,tabiauea,ki,71.5,100,1503517048,1.48,92
45,20.056222213243515,-103.3855635170272,teocuitatlan de corona,mx,73.4,64,1503513840,5.82,90
46,20.759581843892917,-95.79592101812676,vega de alatorre,mx,85.63,61,1503517049,12.77,12
47,84.7044117990688,-77.20754089473644,qaanaaq,gl,35.5,100,1503517049,1.92,88
48,49.22925960713431,117.83948913034953,manzhouli,cn,48.28,94,1503517049,20.6,76
49,77.24487497204166,-9.34851832976787,husavik,is,51.8,81,1503514800,9.17,20
50,60.85595220341236,76.21913807518649,megion,ru,64.4,88,1503514800,6.71,0
51,61.713784685574495,43.45513691300897,shenkursk,ru,67.18,71,1503517050,7.74,44
52,43.71637315252141,11.816917754861095,bibbiena,it,78.8,31,1503514500,6.93,0
53,17.508646645747618,-53.90950313297941,bathsheba,bb,86,70,1503514800,11.41,20
54,27.16040437876113,-71.10203573838427,cockburn town,bs,83.74,100,1503516914,14.23,0
55,-7.402915430693199,44.448150627156565,mitsamiouli,km,75.2,83,1503514800,4.7,20
56,-1.3244599095127398,29.20600139738005,goma,cd,67.18,68,1503517051,2.04,92
57,45.92472016769105,-78.06822182525033,deep river,ca,68,56,1503514800,10.29,90
58,-77.01730177526221,23.0803839763812,bredasdorp,za,53.6,76,1503514800,11.41,92
59,87.5520604266278,162.4650547831671,cherskiy,ru,51.7,68,1503517051,2.59,64
60,10.239000835190666,-76.42121616033089,cartagena,co,91.4,66,1503514800,8.05,40
61,-30.33657975909093,-85.0592306748667,lebu,cl,51.61,100,1503517052,40.06,92
62,3.7664905543920213,28.50475430553493,yambio,sd,68.53,91,1503517052,5.73,8
